Date,Open,High,Low,Close,Volume,Adj Close
3/7/16,-2,,,,,
3/8/16,1,,,,,
3/9/16,-1,,,,,
3/10/16,-1,,,,,
3/11/16,3,,,,,
3/12/16,1,,,,,
3/13/16,1,,,,,
3/14/16,2,,,,,
3/15/16,-2,,,,,
3/16/16,0,,,,,
3/18/16,1,,,,,
3/19/16,2,,,,,
3/21/16,1,,,,,
3/24/16,1,,,,,
3/26/16,-1,,,,,
3/27/16,-2,,,,,
3/28/16,2,,,,,
3/29/16,-2,,,,,
3/31/16,2,,,,,
4/1/16,2,,,,,
4/2/16,3,,,,,
4/3/16,1,,,,,
4/4/16,2,,,,,
4/5/16,0,,,,,
4/6/16,1,,,,,
4/7/16,2,,,,,
4/8/16,1,,,,,
4/9/16,2,,,,,
4/10/16,2,,,,,
4/11/16,-1,,,,,
4/13/16,-1,,,,,
4/14/16,2,,,,,
4/17/16,3,,,,,
4/18/16,2,,,,,
4/22/16,2,,,,,
4/30/16,3,,,,,
5/2/16,1,,,,,
5/7/16,1,,,,,
5/8/16,2,,,,,
5/9/16,3,,,,,
5/10/16,4,,,,,
5/11/16,4,,,,,
5/12/16,3,,,,,
5/13/16,3,,,,,
5/14/16,-3,,,,,
5/15/16,-4,,,,,
5/16/16,-4,,,,,
5/17/16,-4,,,,,
5/18/16,-1,,,,,
5/19/16,0,,,,,
5/20/16,3,,,,,
5/21/16,2,,,,,
5/22/16,1,,,,,
5/23/16,1,,,,,
5/28/16,2,,,,,
5/29/16,-3,,,,,
5/30/16,1,,,,,
5/31/16,0,,,,,
6/1/16,1,,,,,
6/2/16,-2,,,,,
6/3/16,-1,,,,,
6/4/16,1,,,,,
6/5/16,-1,,,,,
6/6/16,0,,,,,
6/7/16,1,,,,,
6/8/16,1,,,,,
6/9/16,1,,,,,
6/10/16,1,,,,,
6/11/16,1,,,,,
6/12/16,1,,,,,
6/13/16,-2,,,,,
6/14/16,2,,,,,
6/15/16,1,,,,,
6/16/16,0,,,,,
6/17/16,2,,,,,
6/18/16,-1,,,,,
6/19/16,-1,,,,,
6/20/16,2,,,,,
6/21/16,0,,,,,
6/22/16,2,,,,,
6/23/16,1,,,,,
6/24/16,2,,,,,
6/25/16,2,,,,,
6/26/16,1,,,,,
6/27/16,2,,,,,
6/28/16,0,,,,,
6/29/16,0,,,,,
6/30/16,1,,,,,
7/1/16,1,,,,,
7/2/16,2,,,,,
7/3/16,3,,,,,
7/4/16,2,,,,,
7/5/16,2,,,,,
7/6/16,2,,,,,
7/7/16,2,,,,,
7/8/16,0,,,,,
7/9/16,1,,,,,
7/10/16,1,,,,,
7/11/16,1,,,,,
7/12/16,1,,,,,
7/13/16,1,,,,,
7/14/16,1,,,,,
7/15/16,-2,,,,,
7/16/16,1,,,,,
7/17/16,2,,,,,
7/18/16,-1,,,,,
7/19/16,-1,,,,,
7/20/16,0,,,,,
7/21/16,1,,,,,
7/22/16,4,,,,,
7/23/16,0,,,,,
7/24/16,2,,,,,
7/25/16,1,,,,,
7/26/16,2,,,,,
7/27/16,2,,,,,
7/28/16,2,,,,,
7/29/16,2,,,,,
8/6/16,4,,,,,
8/7/16,-2,,,,,
8/8/16,1,,,,,
8/9/16,1,,,,,
8/10/16,3,,,,,
8/11/16,-3,,,,,
8/12/16,4,,,,,
8/13/16,2,,,,,
8/15/16,3,,,,,
8/16/16,3,,,,,
8/17/16,1,,,,,
8/18/16,-1,,,,,
8/19/16,1,,,,,
8/20/16,3,,,,,
8/21/16,0,,,,,
8/22/16,1,,,,,
8/23/16,1,,,,,
8/24/16,0,,,,,
8/25/16,-1,,,,,
8/26/16,1,,,,,
8/27/16,1,,,,,
8/28/16,2,,,,,
8/29/16,3,,,,,
8/30/16,0,,,,,
8/31/16,3,,,,,
9/1/16,1,,,,,
9/2/16,2,,,,,
9/3/16,4,,,,,
9/4/16,4,,,,,
9/5/16,1,,,,,
9/6/16,2,,,,,
9/7/16,0,,,,,
9/8/16,1,,,,,
9/9/16,1,,,,,
9/10/16,1,,,,,
9/11/16,0,,,,,
9/12/16,1,,,,,
9/13/16,-1,,,,,
9/14/16,0,,,,,
9/15/16,1,,,,,
9/16/16,0,,,,,
9/17/16,2,,,,,
9/18/16,1,,,,,
9/19/16,,,,,,
9/20/16,1,,,,,
9/21/16,2,,,,,
9/22/16,2,,,,,
9/23/16,1,,,,,
9/24/16,1,,,,,
9/25/16,1,,,,,
9/26/16,0,,,,,
9/27/16,-3,,,,,
9/28/16,,,,,,
9/29/16,1,,,,,
9/30/16,,,,,,
10/1/16,2,,,,,
10/2/16,-3,,,,,
10/3/16,0,,,,,
10/4/16,0,,,,,
10/5/16,2,,,,,
10/6/16,,,,,,
10/7/16,,,,,,
10/8/16,2,,,,,
10/9/16,-2,,,,,
10/10/16,-3,,,,,
10/11/16,-1,,,,,
10/12/16,-2,,,,,
10/13/16,1,,,,,
10/14/16,,,,,,
10/15/16,1,,,,,
10/16/16,1,,,,,
10/17/16,,,,,,
10/18/16,,,,,,
10/19/16,,,,,,
10/20/16,2,,,,,
10/21/16,,,,,,
10/22/16,,,,,,
10/23/16,,,,,,
10/24/16,-1,,,,,
10/25/16,-1,,,,,
10/26/16,-2,,,,,
10/27/16,-1,,,,,
10/28/16,,,,,,
10/29/16,-2,,,,,
10/30/16,,,,,,
10/31/16,,,,,,
11/1/16,-2,,,,,
11/2/16,1,,,,,
11/3/16,1,,,,,
11/4/16,2,,,,,
11/5/16,,,,,,
11/6/16,,,,,,
11/7/16,-1,,,,,
11/8/16,,,,,,
11/9/16,-3,,,,,
11/10/16,-3,,,,,
11/11/16,,,,,,
11/12/16,0,,,,,
11/13/16,0,,,,,
11/14/16,1,,,,,
11/15/16,-1,,,,,
11/16/16,-1,,,,,
11/17/16,-3,,,,,
11/18/16,0,,,,,
11/19/16,-2,,,,,
11/20/16,-2,,,,,
11/21/16,,,,,,
11/22/16,,,,,,
11/23/16,1,,,,,
11/24/16,3,,,,,
11/25/16,3,,,,,
11/26/16,3,,,,,
11/27/16,1,,,,,
11/28/16,,,,,,
11/29/16,,,,,,
11/30/16,,,,,,
12/1/16,2,,,,,
12/2/16,1,,,,,
12/3/16,,,,,,
12/4/16,,,,,,
10/1/10,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
9/30/10,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
9/29/10,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
9/28/10,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
9/27/10,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
9/24/10,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
9/23/10,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
9/22/10,10761.11,10829.75,10682.4,10739.31,3911070000,10739.31
9/21/10,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
9/20/10,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
9/17/10,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
9/16/10,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
9/15/10,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
9/14/10,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
9/13/10,10458.6,10605.73,10458.45,10544.13,4521050000,10544.13
